PERIODO,COLE_AREA_UBICACION,COLE_BILINGUE,COLE_CALENDARIO,COLE_CARACTER,COLE_DEPTO_UBICACION,COLE_GENERO,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_NATURALEZA,COLE_SEDE_PRINCIPAL,ESTU_DEPTO_RESIDE,ESTU_GENERO,ESTU_MCPIO_RESIDE,ESTU_NACIONALIDAD,ESTU_PAIS_RESIDE,ESTU_PRIVADO_LIBERTAD,FAMI_CUARTOSHOGAR,FAMI_EDUCACIONMADRE,FAMI_EDUCACIONPADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_TIENEAUTOMOVIL,FAMI_TIENECOMPUTADOR,FAMI_TIENEINTERNET,FAMI_TIENELAVADORA,real_puntaje_alto,prediccion_puntaje_alto
20172,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,PESCA,OFICIAL,S,BOYACA,M,PESCA,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,Si,Si,No,0,0
20142,URBANO,N,A,TÉCNICO,BOYACA,MIXTO,COMPLETA,NOBSA,NO OFICIAL,S,BOYACA,M,MONGUA,COLOMBIA,COLOMBIA,N,Dos,Primaria incompleta,Primaria completa,Estrato 1,Cinco,No,Si,No,No,0,0
20152,RURAL,N,A,TÉCNICO,BOYACA,MIXTO,COMPLETA,BETEITIVA,OFICIAL,S,BOYACA,F,BETÉITIVA,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) completa,Primaria incompleta,Estrato 2,Tres,No,Si,No,No,0,0
20194,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,PESCA,OFICIAL,S,BOYACA,M,PESCA,COLOMBIA,COLOMBIA,N,Dos,Primaria incompleta,Primaria incompleta,Estrato 1,5 a 6,No,No,No,No,0,0
20142,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,TARDE,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,Cinco,No,Si,Si,Si,0,0
20224,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,NO OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Cuatro,Técnica o tecnológica incompleta,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,Si,Si,Si,0,1
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,Si,Si,Si,1,1
20152,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,TARDE,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Primaria completa,Estrato 2,Cinco,No,Si,No,Si,0,0
20194,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Seis o mas,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,7 a 8,Si,Si,Si,Si,0,1
20152,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Cuatro,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 3,Tres,Si,Si,Si,Si,1,1
20142,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,NOBSA,OFICIAL,S,BOYACA,M,NOBSA,COLOMBIA,COLOMBIA,N,Tres,Primaria completa,Ninguno,Estrato 1,Tres,Si,No,Si,Si,0,0
20194,RURAL,,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Ninguno,Ninguno,Estrato 1,3 a 4,No,No,No,No,0,0
20162,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Técnica o tecnológica completa,Estrato 2,Cuatro,No,Si,Si,No,0,1
20224,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,SOGAMOSO,NO OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Cuatro,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,No,Si,Si,Si,1,1
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,,Secundaria (Bachillerato) completa,Estrato 2,1 a 2,No,Si,,Si,1,1
20142,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,TOTA,OFICIAL,S,BOYACA,M,TOTA,COLOMBIA,COLOMBIA,N,Tres,Primaria completa,Primaria completa,Estrato 1,Siete,No,Si,No,Si,0,0
20162,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,CUITIVA,OFICIAL,S,BOYACA,M,CUÍTIVA,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Primaria completa,Estrato 2,Tres,No,No,No,No,0,0
20194,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,No,No,Si,No,1,1
20224,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,GÁMEZA,OFICIAL,S,BOYACA,M,GÁMEZA,COLOMBIA,COLOMBIA,N,Dos,Primaria incompleta,Primaria incompleta,Estrato 2,3 a 4,No,Si,No,No,0,0
20194,URBANO,N,A,TÉCNICO,BOYACA,MIXTO,COMPLETA,PAJARITO,OFICIAL,S,BOYACA,F,PAJARITO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,No,No,No,No,1,0
20224,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,SABATINA,SOGAMOSO,NO OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) completa,Primaria completa,Estrato 1,3 a 4,No,No,No,No,0,0
20152,RURAL,,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Primaria completa,Estrato 1,Cuatro,No,No,No,No,0,0
20194,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,SOGAMOSO,NO OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Educación profesional completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,Si,Si,Si,0,1
20194,URBANO,N,A,TÉCNICO,BOYACA,MIXTO,COMPLETA,TÓPAGA,OFICIAL,S,BOYACA,F,TÓPAGA,COLOMBIA,COLOMBIA,N,Uno,Secundaria (Bachillerato) incompleta,Primaria incompleta,Estrato 1,3 a 4,No,No,No,No,0,0
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Primaria incompleta,Primaria incompleta,Estrato 1,3 a 4,Si,Si,No,Si,0,0
20194,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,COMPLETA,AQUITANIA,OFICIAL,S,BOYACA,M,AQUITANIA,COLOMBIA,COLOMBIA,N,Tres,Primaria completa,Primaria completa,Estrato 2,5 a 6,No,No,No,Si,0,0
20172,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,NO OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Educación profesional completa,Secundaria (Bachillerato) incompleta,Estrato 3,5 a 6,Si,Si,Si,Si,0,1
20172,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,TARDE,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Primaria incompleta,Primaria incompleta,Estrato 2,5 a 6,No,Si,No,Si,0,0
20194,URBANO,,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,SOGAMOSO,NO OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Postgrado,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,Si,No,Si,1,1
20194,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Cuatro,Primaria completa,Primaria completa,Estrato 2,7 a 8,No,Si,Si,Si,0,0
20162,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Cuatro,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,Cinco,Si,Si,No,Si,1,1
20194,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,NOBSA,OFICIAL,S,BOGOTÁ,M,BOGOTÁ D.C.,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,1 a 2,No,Si,No,Si,1,0
20224,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,TIBASOSA,OFICIAL,S,BOYACA,M,TIBASOSA,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) completa,Primaria completa,Estrato 2,3 a 4,No,No,Si,Si,1,0
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,N,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Técnica o tecnológica completa,Educación profesional completa,Estrato 2,3 a 4,Si,Si,Si,Si,1,1
20194,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) completa,Postgrado,Estrato 2,3 a 4,No,Si,No,Si,1,1
